STATIONKEY,TAXON,NUMBER,WEIGHT,WTCODE
40260001,CARCHARHINUS FALCIFORMIS,1,25.0,
40260001,EPINEPHELUS FLAVOLIMBATUS,2,8.3,
40260002,CARCHARHINUS PLUMBEUS,1,68.2,
40260003,CAULOLATILUS MICROPS,2,4.0,
40260003,EPINEPHELUS FLAVOLIMBATUS,2,7.8,
40260004,CARCHARHINUS FALCIFORMIS,1,1.6,
40260004,EPINEPHELUS FLAVOLIMBATUS,3,4.4,
40260004,CAULOLATILUS MICROPS,1,2.1,
40260005,SPHYRAENA BARRACUDA,1,4.0,
40260005,CAULOLATILUS MICROPS,3,11.7,
40260006,RHIZOPRIONODON TERRAENOVAE,1,3.2,
40260006,CARCHARHINUS FALCIFORMIS,1,36.4,
40260007,CARCHARHINUS FALCIFORMIS,1,7.0,
40260008,RHIZOPRIONODON TERRAENOVAE,3,8.0,
40260008,SPHYRAENA BARRACUDA,1,4.0,
40260009,SPHYRAENA BARRACUDA,4,12.4,
40260009,RHIZOPRIONODON TERRAENOVAE,2,5.0,
40260009,GALEOCERDO CUVIERI,1,45.5,
40260010,SPHYRAENA BARRACUDA,3,10.4,
40260010,GALEOCERDO CUVIERI,1,10.2,
40260010,CARCHARHINUS ACRONOTUS,1,9.3,
40260011,CARCHARHINUS ACRONOTUS,2,19.6,
40260011,RHIZOPRIONODON TERRAENOVAE,4,10.5,
40260012,CARCHARHINUS ACRONOTUS,1,5.2,
40260012,EPINEPHELUS MORIO,5,3.9,
40260012,RHIZOPRIONODON TERRAENOVAE,3,9.4,
40260013,RHIZOPRIONODON TERRAENOVAE,4,10.2,
40260013,CARCHARHINUS ACRONOTUS,1,8.0,
40260013,LUTJANUS ANALIS,1,4.4,
40260013,MYCTEROPERCA MICROLEPIS,1,5.0,
40260013,EPINEPHELUS MORIO,2,2.9,
40260014,CARCHARHINUS ACRONOTUS,3,11.3,
40260014,RHIZOPRIONODON TERRAENOVAE,4,10.5,
40260015,CARCHARHINUS ACRONOTUS,1,9.6,
40260015,RHIZOPRIONODON TERRAENOVAE,2,6.2,
40260015,GALEOCERDO CUVIERI,1,34.1,
40260016,SPHYRAENA BARRACUDA,1,4.5,
40260016,EPINEPHELUS MORIO,1,8.9,
40260017,SPHYRAENA BARRACUDA,1,11.0,
40260017,EPINEPHELUS MORIO,4,12.3,
40260017,MYCTEROPERCA PHENAX,3,6.7,
40260017,MYCTEROPERCA MICROLEPIS,1,9.0,
40260018,MUSTELUS CANIS,1,7.5,
40260018,SPHYRAENA BARRACUDA,1,7.0,
40260019,RHIZOPRIONODON TERRAENOVAE,3,5.8,
40260020,RHIZOPRIONODON TERRAENOVAE,4,12.1,
40260020,CARCHARHINUS ACRONOTUS,1,7.0,
40260020,CARCHARHINUS BREVIPINNA,1,3.0,
40260020,EPINEPHELUS MORIO,1,0.3,
40260021,CARCHARHINUS ACRONOTUS,6,39.9,
40260021,RHIZOPRIONODON TERRAENOVAE,9,34.2,
40260021,EPINEPHELUS MORIO,2,10.7,
40260022,GINGLYMOSTOMA CIRRATUM,1,65.0,
40260022,CARCHARHINUS ACRONOTUS,1,3.0,
40260022,RHIZOPRIONODON TERRAENOVAE,5,12.1,
40260022,EPINEPHELUS MORIO,1,7.0,
40260023,GINGLYMOSTOMA CIRRATUM,1,19.0,
40260023,RHIZOPRIONODON TERRAENOVAE,3,6.3,
40260023,EPINEPHELUS MORIO,5,10.2,
40260024,CARCHARHINUS FALCIFORMIS,1,3.5,
40260024,RHIZOPRIONODON TERRAENOVAE,2,4.8,
40260024,SPHYRNA MOKARRAN,1,30.0,
40260025,RHIZOPRIONODON TERRAENOVAE,1,1.4,
40260025,GALEOCERDO CUVIERI,1,1.2,
40260025,EPINEPHELUS MORIO,1,4.6,
40260025,SPHYRNA MOKARRAN,1,67.7,
40260025,SPHYRNA TIBURO,1,1.6,
40260026,CARCHARHINUS ACRONOTUS,1,11.4,
40260026,CARCHARHINUS LIMBATUS,1,14.6,
40260027,EPINEPHELUS MORIO,1,1.8,
40260028,GALEOCERDO CUVIERI,1,2.4,
40260028,CARCHARHINUS ACRONOTUS,1,6.8,
40260028,GINGLYMOSTOMA CIRRATUM,2,78.0,
40260028,EPINEPHELUS MORIO,1,2.0,
40260029,NEGAPRION BREVIROSTRIS,1,90.9,
40260029,EPINEPHELUS MORIO,2,3.9,
40260030,CARCHARHINUS ACRONOTUS,1,2.5,
40260030,GINGLYMOSTOMA CIRRATUM,1,39.0,
40260030,CARCHARHINUS FALCIFORMIS,1,1.9,
40260030,GALEOCERDO CUVIERI,1,1.8,
40260030,EPINEPHELUS MORIO,6,17.8,
40260031,GINGLYMOSTOMA CIRRATUM,1,42.0,
40260031,CARCHARHINUS ACRONOTUS,1,7.5,
40260032,CARCHARHINUS ACRONOTUS,1,4.7,
40260032,SPHYRNA TIBURO,1,1.8,
40260032,CARCHARHINUS LIMBATUS,1,13.0,
40260033,EPINEPHELUS MORIO,6,8.2,
