STATIONKEY,STARTLAT,STARTLON,STARTDEPTH,START_TIME,ENDLAT,ENDLON,ENDDEPTH,END_TIME,TIME_ZONE,EFFORT,NUMBERHOOKS,HOOKTYPE,LLINEGEAR,LLINEHOOKSIZE,TEMPAIR,BAROPRES,WINDSPD,WINDDIR,WATERCOLOR,FORELULE,CLOUDCOVER,PRECIPITATION,WAVE_HGHT,SEA_COND,COMMENT
421800001,30.0167,-88.4667,23.8,23JUL95:13:28,29.9833,-88.4500,23.8,23JUL95:14:28,4,60,75,J,BL,3,31.0,1016.0,8.0,270,,0,10,0,0.0,3,"tiger shark wgts estimated           black tip    ""      "" ,SR 0645,SS 1955"
421800002,29.7667,-88.4500,32.9,23JUL95:17:50,29.7833,-88.4500,32.9,23JUL95:18:54,4,64,91,J,BL,3,30.0,1015.0,10.0,210,,0,10,0,0.0,3,GEAR IN 1731 2948NN/8828  GEAR OUT 2004 2947/8828
421800003,26.2500,-96.5167,58.5,25JUL95:20:14,26.2500,-96.5167,58.5,25JUL95:21:12,4,58,100,J,BL,3,27.0,1013.0,,,B,0,.,0,,,"SR 0638, SS1954"
421800004,26.5500,-97.0500,31.1,26JUL95:01:33,26.5667,-97.0500,31.1,26JUL95:02:40,4,67,100,J,BL,3,27.0,1014.0,,,B,0,.,0,,,SR 0652
421800005,26.6500,-96.8667,47.5,26JUL95:09:11,26.6833,-96.8833,47.5,26JUL95:10:10,4,59,100,J,BL,3,27.0,1015.0,,,B,0,.,0,,,ALL 1/2 BAIT
421800006,27.4333,-97.0500,25.6,26JUL95:15:29,27.4500,-97.0667,25.6,26JUL95:16:27,4,58,100,J,BL,3,30.0,1014.0,8.0,140,B,0,.,0,0.0,3,chlor sample lost due to refrig. malfunction
421800007,27.8333,-96.4167,43.9,26JUL95:21:46,27.8500,-96.4167,40.2,26JUL95:22:50,4,64,100,J,BL,3,27.0,1013.0,12.0,155,B,0,10,0,0.0,3,
421800008,28.3500,-95.9333,21.9,27JUL95:03:38,28.3667,-95.9333,23.8,27JUL95:04:42,4,64,100,J,BL,3,26.0,1013.0,12.0,180,,0,.,0,0.0,2,SR 0650
421800009,27.9167,-95.6833,54.9,27JUL95:08:37,27.9500,-95.6833,53.0,27JUL95:09:37,4,60,100,J,BL,3,29.0,1014.0,7.0,205,B,0,.,0,0.0,3,
421800010,27.9833,-95.4667,56.7,27JUL95:11:42,28.0000,-95.4500,54.9,27JUL95:12:42,4,60,100,J,BL,3,26.0,1014.0,6.0,225,B,0,.,0,0.0,2,
421800011,28.2833,-95.1000,42.1,27JUL95:16:07,28.3000,-95.1000,40.2,27JUL95:17:06,4,59,100,J,BL,3,30.0,1013.0,5.0,230,B,0,20,0,0.0,2,"Do2 meter malfunction,see sta 6 for chlor comment"
421800013,28.6333,-94.6167,29.3,28JUL95:00:06,28.6500,-94.6000,27.4,28JUL95:01:09,4,63,100,J,BL,3,27.0,1013.0,8.0,196,B,0,.,0,0.0,2,"SR 0638, SS 1953"
421800014,28.0333,-94.2667,67.7,28JUL95:06:06,28.0500,-94.2500,62.2,28JUL95:07:07,4,61,100,J,BL,3,,1031.0,5.0,225,B,0,.,0,0.0,3,
421800015,28.3833,-93.4000,53.0,28JUL95:17:27,28.3667,-93.3833,53.0,28JUL95:18:23,4,56,100,J,BL,3,28.0,1013.0,10.0,325,G,0,10,0,0.0,4,see sta 6 for chlor comment
421800017,28.1833,-92.9000,69.5,29JUL95:00:30,28.1833,-92.8833,73.2,29JUL95:01:53,4,83,100,J,BL,3,30.0,1012.0,5.0,360,G,0,.,0,0.0,3,"SR 0711,SS 1938"
421800018,28.3333,-92.9333,53.0,29JUL95:05:29,28.3167,-92.9500,53.0,29JUL95:06:27,4,58,100,J,BL,3,26.0,1013.0,27.0,25,G,0,.,1,1.0,5,
421800019,28.6333,-93.3000,34.7,29JUL95:10:09,28.6333,-93.3000,34.7,29JUL95:11:14,4,65,100,J,BL,3,27.0,1012.0,20.0,15,G,0,.,0,2.0,6,"LINE PARTED 1125,RECOVERED OPP END 1240 FINISHED 1333 1.3 HRS TRYING TO REC.GEAR"
421800020,28.9000,-92.7333,25.6,29JUL95:17:35,28.9000,-92.7667,25.6,29JUL95:18:35,4,60,100,J,BL,3,27.0,1009.0,21.0,75,G,0,100,0,3.0,6,"2 SHARPNOSE BITTEN 1/2, see sta 6 chlor comment"
421800021,28.8000,-91.5167,21.9,30JUL95:12:11,28.8000,-91.5333,21.9,30JUL95:13:40,4,89,100,J,BL,3,28.0,1008.0,18.0,115,G,0,100,0,1.0,5,had to cut line & retrieve from      other end; SR 0620
421800022,28.4500,-91.6333,53.0,30JUL95:17:37,28.4500,-91.6667,53.0,30JUL95:18:45,4,68,100,J,BL,3,28.0,1008.0,15.0,140,G,0,.,,1.0,5,
421800023,28.3167,-91.4667,65.8,30JUL95:21:12,28.3333,-91.4833,64.0,30JUL95:22:16,4,64,100,J,BL,3,28.0,1008.0,15.0,140,,0,.,0,2.0,5,
421800024,28.2667,-90.9333,65.8,31JUL95:08:38,28.2833,-90.9500,64.0,31JUL95:09:50,4,72,100,J,BL,3,29.0,1012.0,9.0,165,G,0,.,,2.0,4,SR 0645
421800025,28.5833,-90.2667,42.1,31JUL95:14:50,28.5833,-90.2833,40.2,31JUL95:15:49,4,59,100,J,BL,3,27.0,1013.0,18.0,145,G,0,100,0,2.0,5,
421800026,28.7000,-90.1667,34.7,31JUL95:18:06,28.7333,-90.2000,34.7,31JUL95:19:05,4,59,100,J,BL,3,27.0,1013.0,18.0,145,G,0,100,0,2.0,5,
421800027,28.7000,-89.9667,54.9,31JUL95:21:22,28.7000,-90.0000,47.5,31JUL95:22:27,4,65,100,J,BL,3,27.0,1013.0,16.0,115,G,0,100,0,2.0,5,
421800028,28.9333,-89.2667,36.6,01AUG95:04:05,28.9333,-89.3000,29.3,01AUG95:05:05,4,60,100,J,BL,3,28.0,1013.0,6.0,145,B,0,.,,1.0,4,"SR 0621, SS 1946"
421800029,28.8833,-89.2500,65.8,01AUG95:06:39,28.8833,-89.2833,58.5,01AUG95:07:39,4,60,100,J,BL,3,27.0,1013.0,6.0,110,B,0,.,,1.0,4,
421800030,29.2000,-88.8833,53.0,01AUG95:11:58,29.1833,-88.9000,42.1,01AUG95:12:53,4,55,100,J,BL,3,27.0,1015.0,12.0,100,,0,.,,1.0,4,
421800031,29.4833,-88.2500,47.5,06AUG95:14:42,29.4833,-88.2667,47.5,06AUG95:15:42,4,60,100,J,BL,3,31.0,1015.0,11.0,180,G,0,20,0,1.0,4,"SS 1955, chlor smpl taken, chlor data from CTD"
421800032,29.4667,-87.6333,64.0,06AUG95:19:46,29.4833,-87.6333,60.4,06AUG95:20:48,4,62,100,J,BL,3,26.0,1015.0,9.0,160,,0,20,0,1.0,4,
421800033,29.8000,-87.3500,58.5,07AUG95:00:06,29.8000,-87.3833,49.4,07AUG95:01:06,4,60,100,J,BL,3,28.0,1016.0,8.0,180,,0,.,0,0.0,3,SR 0611
421800034,30.1167,-87.0000,29.3,07AUG95:04:48,30.1500,-87.0000,25.6,07AUG95:05:53,4,65,100,J,BL,3,26.0,1016.0,8.0,190,,0,.,0,1.0,3,
421800035,30.1167,-86.5833,38.4,07AUG95:08:47,30.1333,-86.6000,34.7,07AUG95:09:50,4,63,100,J,BL,3,28.0,1017.0,1.0,225,,0,.,0,0.0,2,
421800036,29.9333,-86.2833,56.7,07AUG95:12:38,29.9500,-86.3167,56.7,07AUG95:13:40,4,62,100,J,BL,3,30.0,1017.0,2.0,225,B,0,.,0,1.0,2,"chlor smpl taken, chlor data from CTD"
421800037,29.9667,-86.2333,45.7,07AUG95:15:09,29.9667,-86.2500,49.4,07AUG95:16:08,4,59,100,J,BL,3,30.0,1017.0,10.0,205,,0,.,0,1.0,2,1 BONITA BITTEN 1/2
421800038,29.5833,-85.7000,29.3,08AUG95:00:29,29.6000,-85.7167,29.3,08AUG95:01:29,4,60,100,J,BL,3,27.0,1016.0,7.0,220,,0,.,0,0.0,2,"SR 0638, SS 1932"
421800039,29.3667,-85.7167,47.5,08AUG95:03:39,29.3833,-85.7000,43.9,08AUG95:04:44,4,65,100,J,BL,3,26.0,1015.0,4.0,310,,0,.,0,0.0,2,
421800040,28.7833,-85.0333,62.2,08AUG95:10:03,28.7500,-85.0333,65.8,08AUG95:11:03,4,60,100,J,BL,3,28.0,1018.0,10.0,30,,0,.,0,1.0,2,
421800041,28.7667,-84.9667,51.2,08AUG95:12:33,28.7500,-84.9833,54.9,08AUG95:13:33,4,60,100,J,BL,3,29.0,1017.0,7.0,35,,0,.,0,0.0,2,"chlor smpl taken, chlor data from CTD"
